Track,Version,Artist,Release,Digital UPC,Label Imprint,Project Code,Product Code,Revenue,Ringtones,Cloud,Publishing,Total,Preferred Currency
Vacio,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,"1,626.36",0,0,0,"1,626.36",USD
How You Feel,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,"1,528.69",0,0,0,"1,528.69",USD
Eraserhead,,Youwin,Hedonist,1.96925E+11,MARSTEN HOUSE,1.96925E+11,1.96925E+11,"1,421.63",0,0,0,"1,421.63",USD
Been a Minute,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,887.563412,0,0,0,887.563412,USD
Wayside,,Youwin,Hedonist,1.96925E+11,MARSTEN HOUSE,1.96925E+11,1.96925E+11,460.564535,0,0,0,460.564535,USD
Jesus Piece,,Youwin,Hedonist,1.96925E+11,MARSTEN HOUSE,1.96925E+11,1.96925E+11,272.106472,0,0,0,272.106472,USD
3-2,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,269.677475,0,0,0,269.677475,USD
Que Picazón,,Rey Effective,Ahora Te Perdono,1.97188E+11,VILLA VERDE,1.97188E+11,1.97188E+11,222.694255,0,0,0,222.694255,USD
Good Girl,,Youwin,Good Girl,1.96627E+11,360,1.96627E+11,360-0003-01,177.419626,0,0,0,177.419626,USD
Cold Blood,,Youwin,Voyeur/Cold Blood,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,163.246898,0,0,0,163.246898,USD
Telly,,Youwin,Hedonist,1.96925E+11,MARSTEN HOUSE,1.96925E+11,1.96925E+11,159.84704,0,0,0,159.84704,USD
Vacio,,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,152.865056,0,0,0,152.865056,USD
Voyeur,,Youwin,Voyeur/Cold Blood,1.97189E+11,EYES WIDE SHUT,1.97189E+11,1.97189E+11,85.075936,0,0,0,85.075936,USD
Wipe Your Eyes,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,67.51748,0,0,0,67.51748,USD
Mhmmniverse,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,61.522154,0,0,0,61.522154,USD
Voyeur,,Youwin,Voyeur,1.97189E+11,EYES WIDE SHUT,1.97189E+11,QM6MZ2349125LV,45.806389,0,0,0,45.806389,USD
Mi Obsesìon,,2livemafia,Mi Obsesion,1.97188E+11,VILLA VERDE,1.97188E+11,1.97188E+11,41.883986,0,0,0,41.883986,USD
Ecstacy,2livemafia Remix,Don Tonic,Es Todo O Nada,1.97189E+11,GAME7,1.97189E+11,1.97189E+11,35.669855,0,0,0,35.669855,USD
Hedonist Overture,,Youwin,Hedonist Overture,1.97188E+11,ENGLISH LIT,1.97188E+11,360-0006-001,30.906738,0,0,0,30.906738,USD
Patience,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,28.374391,0,0,0,28.374391,USD
Overflow,,Lia J,Overflow,1.96925E+11,360,1.96925E+11,360-0007-01,28.333583,0,0,0,28.333583,USD
"How You Feel, Pt. 2",,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,26.668202,0,0,0,26.668202,USD
Can I Take a Ride,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,26.477329,0,0,0,26.477329,USD
Que Rico,,2livemafia,Que Rico,1.97188E+11,GAME7,1.97188E+11,QM4TX2326933,23.842442,0,0,0,23.842442,USD
Whatizyoname,,Nazzy the Mic,Eighteen,1.97188E+11,ENGLISH LIT,1.97188E+11,1.97188E+11,14.973797,0,0,0,14.973797,USD
Intocable,,Rey Effective,Intocable,1.96925E+11,NUESTRO TIEMPO ENT.,1.96925E+11,QM6N22298897,10.859971,0,0,0,10.859971,USD
Rip Nancy,,Youwin,Hedonist,1.96925E+11,MARSTEN HOUSE,1.96925E+11,1.96925E+11,10.832817,0,0,0,10.832817,USD
